"Continent","Region","Country","Country_Code","CRIMINALITY","Human_trafficking","Victim_support"
"Asia","Eastern Asia",""Korea"," DPR"","PRK","4.78","8.0","1.0"
"Europe","Central & Eastern Europe","North Macedonia","MKD","5.31","5.5","5.0"
"Europe","Northern Europe","Norway","NOR","3.81","5.0","7.5"
"Asia","Western Asia","Oman","OMN","4.14","6.0","4.0"
"Asia","Southern Asia","Pakistan","PAK","6.28","8.0","3.5"
"Oceania","Micronesia","Palau","PLW","2.94","4.0","2.0"
"Americas","Central America","Panama","PAN","6.68","8.0","4.0"
"Oceania","Melanesia","Papua New Guinea","PNG","5.44","7.0","3.0"
"Americas","South America","Paraguay","PRY","6.70","7.0","2.0"
"Americas","South America","Peru","PER","6.35","7.0","3.5"
"Asia","South-Eastern Asia","Philippines","PHL","6.84","7.0","5.0"
"Europe","Central & Eastern Europe","Poland","POL","4.01","5.5","5.0"
"Europe","Southern Europe","Portugal","PRT","4.55","4.5","7.0"
"Asia","Western Asia","Qatar","QAT","5.21","8.0","6.0"
"Europe","Central & Eastern Europe","Romania","ROU","4.59","6.5","5.0"
"Europe","Central & Eastern Europe","Russia","RUS","6.24","6.5","2.5"
"Africa","Central Africa","Rwanda","RWA","3.68","5.0","5.5"
"Oceania","Polynesia","Samoa","WSM","2.04","3.5","5.0"
"Europe","Southern Europe","San Marino","SMR","3.01","2.0","5.5"
"Africa","Central Africa","São Tomé and Príncipe","STP","1.78","1.5","4.0"
"Asia","Western Asia","Saudi Arabia","SAU","6.01","8.5","4.5"
"Africa","West Africa","Senegal","SEN","4.81","5.0","5.0"
"Europe","Central & Eastern Europe","Serbia","SRB","6.21","5.0","4.0"
"Africa","Southern Africa","Seychelles","SYC","3.68","4.0","4.0"
"Africa","West Africa","Sierra Leone","SLE","5.40","5.0","2.5"
"Asia","South-Eastern Asia","Singapore","SGP","3.13","5.5","7.0"
"Europe","Central & Eastern Europe","Slovakia","SVK","4.69","5.5","4.5"
"Europe","Central & Eastern Europe","Slovenia","SVN","4.29","4.0","6.0"
"Oceania","Melanesia","Solomon Islands","SLB","4.15","4.0","4.5"
"Africa","East Africa","Somalia","SOM","5.79","8.0","1.0"
"Africa","Southern Africa","South Africa","ZAF","6.63","4.5","4.0"
"Asia","Eastern Asia",""Korea"," Rep."","KOR","4.91","6.0","6.5"
"Africa","East Africa","South Sudan","SSD","6.34","8.5","1.0"
"Europe","Southern Europe","Spain","ESP","5.78","7.0","6.5"
"Asia","Southern Asia","Sri Lanka","LKA","4.64","5.5","3.0"
"Americas","Caribbean","St. Kitts and Nevis","KNA","4.10","3.0","2.5"
"Americas","Caribbean","St. Lucia","LCA","4.09","4.0","5.0"
